Вопрос повестки,Время,За,Против,Возд,Результат
Регистрация,00:53,0,0,0,Кворум нет
Регламентные вопросы,00:53,0,0,0,Принято
Регистрация,00:56,0,0,0,Кворум нет
Регламентные вопросы,00:56,0,0,0,Принято
Регистрация,00:56,0,0,0,Кворум нет
Регламентные вопросы,02:16,0,0,0,Принято
Регистрация,00:56,0,0,0,Кворум нет
Регламентные вопросы,02:16,0,0,0,Принято
Регистрация,00:58,0,0,0,Кворум нет
Регламентные вопросы,02:16,0,0,0,Принято
Регистрация,01:08,0,0,0,Кворум нет
Регламентные вопросы,02:16,0,0,0,Принято
Регистрация,01:08,0,0,0,Кворум нет
Регламентные вопросы,02:16,0,0,0,Принято
Регламентные вопросы,02:16,0,0,0,Принято
Регламентные вопросы,02:16,0,0,0,Принято
Регламентные вопросы,02:17,0,0,0,Принято
Регламентные вопросы,02:17,0,0,0,Принято
Регламентные вопросы,02:17,0,0,0,Принято
Регламентные вопросы,02:17,0,0,0,Принято
Регламентные вопросы,02:23,0,0,0,Принято
Регламентные вопросы,02:23,0,0,0,Принято
Регламентные вопросы,02:23,0,0,0,Принято
Регламентные вопросы,02:23,0,0,0,Принято
Регламентные вопросы,02:23,0,0,0,Принято
Регистрация,02:23,0,0,0,Кворум нет
Регламентные вопросы,02:23,0,0,0,Принято
Регистрация,02:24,0,0,0,Кворум нет
Регламентные вопросы,02:26,0,0,0,Принято
Регистрация,02:24,0,0,0,Кворум нет
Регламентные вопросы,02:26,0,0,0,Принято
Регистрация,02:26,0,0,0,Кворум нет
Регламентные вопросы,02:26,0,0,0,Принято
Регламентные вопросы,02:26,0,0,0,Принято
Регламентные вопросы,02:26,0,0,0,Принято
Регламентные вопросы,02:27,0,0,0,Принято
Регламентные вопросы,02:27,0,0,0,Принято
Регламентные вопросы,02:31,0,0,0,Принято
Регламентные вопросы,02:32,0,0,0,Принято
Регистрация,04:14,0,0,0,Кворум нет
Регламентные вопросы,11:34,0,1,0,Принято
Регистрация,04:14,0,0,0,Кворум нет
Регламентные вопросы,11:35,1,0,0,Принято
Регистрация,05:44,0,0,0,Кворум нет
Регламентные вопросы,06:43,0,0,0,Принято
Регистрация,06:25,0,0,0,Кворум нет
Регламентные вопросы,06:43,0,0,0,Принято
Регистрация,06:25,0,0,0,Кворум нет
Регламентные вопросы,06:43,0,0,0,Принято
Регистрация,06:25,0,0,0,Кворум нет
Регламентные вопросы,06:43,0,0,0,Принято
Регистрация,06:25,0,0,0,Кворум нет
Регламентные вопросы,06:43,0,0,0,Принято
Регистрация,11:33,0,0,0,Кворум нет
Регламентные вопросы,06:47,0,0,0,Принято
Регистрация,10:28,0,0,0,Кворум нет
Регламентные вопросы,06:48,0,0,0,Принято
Регистрация,05:17,0,0,0,Кворум нет
Регламентные вопросы,06:48,0,0,0,Принято
Регистрация,05:17,0,0,0,Кворум нет
Регламентные вопросы,06:49,0,0,0,Принято
Регистрация,05:17,0,0,0,Кворум нет
Регламентные вопросы,06:50,0,0,0,Принято
Регистрация,07:03,0,0,0,Кворум нет
Регламентные вопросы,07:04,0,0,0,Принято
Регистрация,07:04,0,0,0,Кворум нет
Регламентные вопросы,07:04,0,0,0,Принято
Регистрация,07:04,0,0,0,Кворум нет
Регламентные вопросы,07:19,0,0,0,Принято
Регистрация,07:04,0,0,0,Кворум нет
Регламентные вопросы,07:19,0,0,0,Принято
Регистрация,07:04,0,0,0,Кворум нет
Регламентные вопросы,07:23,0,0,0,Принято
Регистрация,07:04,0,0,0,Кворум нет
Регламентные вопросы,07:24,0,0,0,Принято
Регистрация,07:04,0,0,0,Кворум нет
Регламентные вопросы,07:24,0,0,0,Принято
Регистрация,05:17,0,0,0,Кворум нет
Регламентные вопросы,07:24,0,0,0,Принято
Регистрация,05:17,0,0,0,Кворум нет
Регламентные вопросы,07:24,0,0,0,Принято
Регистрация,05:18,0,0,0,Кворум нет
Регламентные вопросы,07:24,0,0,0,Принято
Регистрация,05:18,0,0,0,Кворум нет
Регламентные вопросы,07:34,0,0,0,Принято
Регистрация,05:20,0,0,0,Кворум нет
Регламентные вопросы,07:34,0,0,0,Принято
Регистрация,05:20,0,0,0,Кворум нет
Регламентные вопросы,07:34,0,0,0,Принято
Регистрация,05:21,0,0,0,Кворум нет
Регламентные вопросы,07:34,0,0,0,Принято
Регистрация,05:21,0,0,0,Кворум нет
Регламентные вопросы,07:34,0,0,0,Принято
Регистрация,05:21,0,0,0,Кворум нет
Регламентные вопросы,07:34,0,0,0,Принято
Регистрация,05:21,0,0,0,Кворум нет
Регламентные вопросы,07:34,0,0,0,Принято
Регистрация,05:22,0,0,0,Кворум нет
Регламентные вопросы,07:36,0,0,0,Принято
Регистрация,05:22,0,0,0,Кворум нет
Регламентные вопросы,07:37,0,0,0,Принято
Регистрация,05:22,0,0,0,Кворум нет
Регламентные вопросы,07:37,0,0,0,Принято
Регистрация,05:23,0,0,0,Кворум нет
Регламентные вопросы,10:15,0,0,0,Принято
Регистрация,05:23,0,0,0,Кворум нет
Регламентные вопросы,10:15,0,0,0,Принято
Регистрация,05:23,0,0,0,Кворум нет
Регламентные вопросы,10:15,0,0,0,Принято
Регистрация,05:24,0,0,0,Кворум нет
Регламентные вопросы,10:15,0,0,0,Принято
Регистрация,05:25,0,0,0,Кворум нет
Регламентные вопросы,10:16,0,0,0,Принято
